Week,Weekly_cases,Weekly_deaths,Case_change,Case_pct_change,Case_spike
Week_155,119,1,-22,-0.156028369,
Week_156,72,0,-47,-0.394957983,
Week_157,79,0,7,0.097222222,
Week_158,90,1,11,0.139240506,
Week_159,79,2,-11,-0.122222222,
Week_160,69,1,-10,-0.126582278,
Week_161,57,0,-12,-0.173913043,
Week_162,56,0,-1,-0.01754386,
Week_163,42,0,-14,-0.25,
Week_164,0,0,-42,-1,
